ObsID,e_fe_h
652613128,0.028
655515098,0.037
656309127,0.013
657503218,0.053
660913068,0.038
663902052,0.043
664707091,0.031
678203113,0.026
685608120,0.016
687216003,0.171
690106068,0.641
698705160,0.119
698709090,0.044
724309090,0.014
730416161,0.051
731401082,0.125
731605177,0.015
732201093,0.027
732803215,0.047
733204245,0.119
733805226,0.056
734914201,0.029
742504013,0.016
742916028,0.123
743313196,0.139
745911206,0.11
746110209,0.008
