bprp_20pct,gabs_20pct,bprp_80pct,gabs_80pct
1.337226,15.04411,1.535344,15.55093
1.138313,14.78903,1.373237,15.35719
0.9187554,14.4683,1.099449,14.9134
0.6075018,13.94357,0.9608346,14.78926
0.352008,13.45582,0.8040217,14.63826
0.1696938,13.07261,0.5154436,14.18007
-0.014026211,12.72583,0.2752975,13.733
-0.1516954,12.64695,0.085686848,13.37667
-0.2914764,12.58182,-0.1101898,13.16182
-0.475993,12.36557,-0.3026432,13.15815
