,M_initial,M_final,mslifetime,cooling_budget,teff_max
0,1.0,0.5193,11.423598002967166,1.5764019970328338,6519.286963706612
1,1.1,0.53081,8.1553370702694,4.8446629297306,4993.710605598086
2,1.2,0.53704,6.054704272520869,6.945295727479131,4579.656942083327
3,1.3,0.54466,4.627435281255583,8.372564718744417,4170.829678498886
4,1.4,0.54901,3.6213833881077466,9.378616611892253,3809.878767284776
5,1.5,0.55167,2.8824428569173532,10.117557143082646,3522.6212668426087
6,1.6,0.55504,2.3429877206828467,10.657012279317154,3313.3661330637724
7,1.7,0.55752,1.9512268286926742,11.048773171307326,3159.5055899954896
8,1.8,0.56023,1.6683314511756024,11.331668548824398,3055.216333645649
9,1.9,0.56151,1.4659187132396378,11.534081286760362,2975.7922566617067
10,2.0,0.56511,1.3337099266900103,11.66629007330999,2944.2062118779404
11,2.1,0.57052,1.2619434318109568,11.738056568189043,2954.094837350267
12,2.2,0.57587,1.1118920596997628,11.888107940300237,2925.0582341440886
13,2.3,0.58169,0.9821713871694692,12.017828612830531,2901.60224000088
14,2.4,0.58767,0.8724153689878923,12.127584631012107,2893.0219813761855
15,2.5,0.59368,0.7753724329619612,12.22462756703804,2887.294593572606
16,2.6,0.6007,0.6976018824269471,12.302398117573054,2894.3376056491297
17,2.7,0.60851,0.6233072856210691,12.376692714378931,2895.096025719031
18,2.8,0.61822,0.558099524668717,12.441900475331282,2908.574695132468
19,2.9,0.63333,0.507163478015267,12.492836521984733,2949.7955921255943
20,3.0,0.64501,0.4562274313618169,12.543772568638182,2974.9599495270663
21,3.1,0.66046,0.41754307531055673,12.582456924689444,3011.664179179047
22,3.2,0.67939,0.37885871925929654,12.621141280740703,3057.043617898136
23,3.3,0.69884,0.34795725361184066,12.65204274638816,3104.199273401895
24,3.4,0.71665,0.31705578796438466,12.682944212035615,3118.7827388605347
25,3.5,0.73877,0.29383222401431897,12.706167775985682,3141.101206251021
26,3.6,0.76393,0.2706086600642533,12.729391339935747,3126.477119254622
27,3.7,0.78475,0.2517886305130848,12.748211369486915,3079.2258226584354
28,3.8,0.80482,0.23296860096191638,12.767031399038084,3021.2834303544582
29,3.9,0.81627,0.2180290176751698,12.78197098232483,2959.00948082503
30,4.0,0.8245,0.20308943438842322,12.796910565611578,2911.1833246558235
31,4.1,0.83148,0.1908094665345016,12.809190533465499,2870.997943968722
32,4.2,0.83756,0.17852949868057985,12.82147050131942,2833.356344783925
33,4.3,0.84277,0.16837420890355828,12.831625791096442,2800.4721020771485
34,4.4,0.84906,0.15821891912653663,12.841781080873464,2763.034693638496
35,4.5,0.85506,0.1496752444936597,12.85032475550634,2710.860995712719
36,4.6,0.86347,0.14113156986078276,12.858868430139218,2636.993272208425
37,4.7,0.86618,0.13394539743754832,12.866054602562452,2609.3923872563046
38,4.8,0.87511,0.12675922501431397,12.873240774985685,2534.2655668158695
39,4.9,0.89163,0.12071483601322183,12.879285163986777,2402.2402803418217
40,5.0,0.89634,0.11467044701212974,12.885329552987871,2360.453144690437
41,5.1,0.89372,0.10946128310479876,12.8905387168952,2375.474556608774
42,5.2,0.90169,0.10425211919746773,12.895747880802531,2298.099772236942
43,5.3,0.91062,0.09976945498385548,12.900230545016145,2155.960269373061
44,5.4,0.91919,0.09528679077024318,12.904713209229756,2011.7622972899708
45,5.5,0.93076,0.09132221065057544,12.908677789349424,1822.006687202642
46,5.6,0.94242,0.08735763053090768,12.912642369469092,1630.8506604342456
47,5.7,0.95617,0.08397163277214191,12.916028367227858,
48,5.9,0.95933,0.07737584718742892,12.92262415281257,
49,6.0,0.96939,0.07416605936148168,12.925833940638519,
