Gaia G,Gaia BP,Gaia RP,SDSS u,SDSS g,SDSS r,SDSS i,SDSS z,PanSTARR g,PanSTARR r,PanSTARR i,PanSTARR z,PanSTARR y,SkyMap u,SkyMap V,SkyMap g,SkyMap r,SkyMap i,SkyMap z,2MASS J,2MASS H,2MASS Ks,APASS V,APASS g,APASS r,APASS i,APASS B,Teff,Logg
8.42348894490477e-09,4.00557513394744e-09,1.5736811875730182e-08,4.230948685309968e-11,1.9688582501046855e-09,8.911998758970088e-09,1.5043313744710327e-08,1.9924459204826352e-08,2.5005057154686405e-09,8.968417049160279e-09,1.5236429832380822e-08,1.9586813832571542e-08,2.0930451977244405e-08,2.2304562542752475e-11,1.4471723722711978e-10,3.3802901135536026e-09,8.562374928992136e-09,1.6180683584628565e-08,1.9936067964369925e-08,4.207454998911333e-09,1.1071095888437797e-09,5.225805234347086e-10,5.173806783169348e-09,1.9688582501046855e-09,8.911998758970088e-09,1.5043313744710327e-08,7.849945063341491e-10,3000.0,8.75
8.515173642832618e-09,4.186809318440152e-09,1.561879969403895e-08,4.061992925703015e-11,2.0743748682847096e-09,9.237429390391951e-09,1.4982206695023496e-08,1.9489149712917686e-08,2.6427797169761807e-09,9.283559807719282e-09,1.515830830479443e-08,1.9160562791392665e-08,2.046403077230514e-08,2.1768154952592806e-11,1.4014038206611807e-10,3.566065997616338e-09,8.873799716618444e-09,1.6018975483241486e-08,1.9527261915312178e-08,5.471534342443562e-09,1.5192529784991812e-09,6.825490586189601e-10,5.476269431347401e-09,2.0743748682847096e-09,9.237429390391951e-09,1.4982206695023496e-08,8.105693455066386e-10,3000.0,9.0
8.384830041434414e-09,4.209867915188702e-09,1.5191702642453807e-08,3.568916860946622e-11,2.14665545275915e-09,9.16031550741389e-09,1.4625643875349085e-08,1.8773716109429744e-08,2.7297147019794783e-09,9.203024190489128e-09,1.4792374563456793e-08,1.850493511524943e-08,1.957775391014708e-08,1.9542842624524384e-11,1.1964647695994393e-10,3.6507909838844916e-09,8.812480524190057e-09,1.560453216132342e-08,1.8759364040473166e-08,4.700923788678251e-09,1.2998144482558072e-09,6.007593913562175e-10,5.576278355401756e-09,2.14665545275915e-09,9.16031550741389e-09,1.4625643875349085e-08,8.049887452308926e-10,3000.0,9.25
7.780386253787305e-09,3.830254257686395e-09,1.4314975344606762e-08,5.533388803641335e-11,2.0338330558876478e-09,8.23321107722793e-09,1.3638340066913459e-08,1.8192422404671133e-08,2.5318649247068645e-09,8.284899486694486e-09,1.3811395345716827e-08,1.7768788929672738e-08,1.9444688495975334e-08,3.274105611529222e-11,1.725589668791765e-10,3.332070475454884e-09,7.929379661304332e-09,1.4661148468769782e-08,1.8360744751299668e-08,6.70277992612546e-09,1.852757585360346e-09,8.319661087351632e-10,4.964300208910138e-09,2.0338330558876478e-09,8.23321107722793e-09,1.3638340066913459e-08,8.786736500757815e-10,3000.0,9.5
8.891141565161674e-09,4.33155337053351e-09,1.6504034932091438e-08,8.66048984283221e-11,2.393457359867702e-09,9.162907555225623e-09,1.5623723675764618e-08,2.1449939495856254e-08,2.93578967422988e-09,9.232890747898488e-09,1.5836774084270182e-08,2.0756119021981377e-08,2.345355630911189e-08,5.88864248733942e-11,2.3878778891594847e-10,3.80406234871408e-09,8.843815465665321e-09,1.688722416287067e-08,2.191617285913649e-08,1.6085895068978524e-08,5.7104135375929995e-09,2.448710283313449e-09,5.5389507430569686e-09,2.393457359867702e-09,9.162907555225623e-09,1.5623723675764618e-08,1.1223898410695232e-09,3250.0,6.0
9.275474875437674e-09,4.568467985303825e-09,1.710559711847731e-08,8.714702876860419e-11,2.541907957152702e-09,9.619695863322959e-09,1.6234685619366077e-08,2.2085048762282686e-08,3.1168171845117415e-09,9.690519317154146e-09,1.645102161069875e-08,2.1415542958333508e-08,2.4022718191950635e-08,5.718614146896398e-11,2.5011315615264844e-10,4.031049610291044e-09,9.28723432860955e-09,1.7515651015481748e-08,2.2514558261229912e-08,1.4887172382488439e-08,4.847604860015837e-09,2.0346307143811655e-09,5.864018285279011e-09,2.541907957152702e-09,9.619695863322959e-09,1.6234685619366077e-08,1.1897498042131775e-09,3250.0,6.25
9.649823205763284e-09,4.798726533980392e-09,1.7691960639417864e-08,8.753545622487664e-11,2.6850899723480162e-09,1.0066533634129297e-08,1.6830694124804222e-08,2.2694680744534516e-08,3.2923241557265227e-09,1.0138791884378359e-08,1.704987904118973e-08,2.2052152408478122e-08,2.455876451262523e-08,5.543924953865723e-11,2.6019123587617315e-10,4.251644737639063e-09,9.721693599376484e-09,1.8126759351071863e-08,2.308414751647015e-08,1.3719481599118704e-08,4.1164159191724324e-09,1.7160539848777968e-09,6.1821678757888546e-09,2.6850899723480162e-09,1.0066533634129297e-08,1.6830694124804222e-08,1.2518732875122538e-09,3250.0,6.5
1.0015389637935763e-08,5.0233391840400285e-09,1.8264721560972023e-08,8.792215390472991e-11,2.824128866855187e-09,1.050430992937413e-08,1.741430158269795e-08,2.327899706953583e-08,3.463158737667843e-09,1.0578142646170113e-08,1.7636027609398302e-08,2.26689700833391e-08,2.505441868426808e-08,5.4131831171906525e-11,2.6859483726169825e-10,4.465578327028685e-09,1.0147131338413664e-08,1.8723662750926337e-08,2.3620577433118096e-08,1.2340134131250542e-08,3.478936657448607e-09,1.4545956933797663e-09,6.490564293292575e-09,2.824128866855187e-09,1.050430992937413e-08,1.741430158269795e-08,1.311321816765163e-09,3250.0,6.75
1.0363291475646552e-08,5.237727321403484e-09,1.8807908586776965e-08,8.859322585186559e-11,2.9560031469402356e-09,1.0927222733575004e-08,1.7969998388559342e-08,2.382282784255911e-08,3.6242779449126026e-09,1.1000231544803813e-08,1.8193814509964555e-08,2.324724336196961e-08,2.5503651844332516e-08,5.3247659659972536e-11,2.766920842292403e-10,4.666995468598758e-09,1.0554290533624359e-08,1.9290003262685938e-08,2.411466958584647e-08,1.109742621644794e-08,2.980763830459275e-09,1.2606128175214416e-09,6.780356391436751e-09,2.9560031469402356e-09,1.0927222733575004e-08,1.7969998388559342e-08,1.3673968916473236e-09,3250.0,7.0
1.0693130187271755e-08,5.440728530990004e-09,1.9321645082472258e-08,8.806807848517837e-11,3.07587879256424e-09,1.1338189340336774e-08,1.84989194438097e-08,2.4322474940074702e-08,3.770284584474093e-09,1.1409831160527002e-08,1.8724417791737495e-08,2.3788075509381515e-08,2.5890156999899014e-08,5.134200883527215e-11,2.8260104014652777e-10,4.854309604357885e-09,1.0947015621232875e-08,1.9827107162385663e-08,2.455516769430105e-08,9.651031450136767e-09,2.559298969683853e-09,1.1004052614151841e-09,7.0510662093900494e-09,3.07587879256424e-09,1.1338189340336774e-08,1.84989194438097e-08,1.417883420562419e-09,3250.0,7.25
1.0988685243528202e-08,5.623348798303874e-09,1.9778712875909007e-08,8.780158557527332e-11,3.1763324654014263e-09,1.171660272492406e-08,1.897332171631541e-08,2.4753650573780878e-08,3.895927203861616e-09,1.1786919630706042e-08,1.919985335459385e-08,2.425912883082222e-08,2.6210521000165186e-08,4.9999679822601526e-11,2.8772303919843046e-10,5.019292347835872e-09,1.1308687969684756e-08,2.0305871807472428e-08,2.4930882889223412e-08,8.512236211051649e-09,2.2797756198234016e-09,9.90467178576333e-10,7.29441760936958e-09,3.1763324654014263e-09,1.171660272492406e-08,1.897332171631541e-08,1.4602891749393446e-09,3250.0,7.5
