,sourceid,radius_thick,teff_thick,dist_thick,av_thick,std_rr_thick,std_tt_thick,std_dist_thick,std_av_thick,cov_rt_thick,nsamps_thick,radius_thin,teff_thin,dist_thin,av_thin,std_rr_thin,std_tt_thin,std_dist_thin,std_av_thin,cov_rt_thin,nsamps_thin,radius_mixed,teff_mixed,dist_mixed,av_mixed,std_rr_mixed,std_tt_mixed,std_dist_mixed,std_av_mixed,cov_rt_mixed,nsamps_mixed,PDA,PDB,PDC,PDO,PDQ,PDZ,SpType,teff_best,std_tt_best,radius_best,std_rr_best,cov_rt_best,av_best,std_av_best,dist_best,std_dist_best,nsamps_best,pop_type,log_age_cool,log_age_cool_hi,log_age_cool_lo,log_age,log_age_hi,log_age_lo,mass,mass_hi,mass_lo
0,6704076372871298816,0.011971267167847029,9585.648074821565,171.24837946527904,0.029780898712568643,0.0017418298008668584,1012.597940881951,0.9755362319178773,0.002982007602326412,-1.6970388828187553,3675,0.012671884911451499,9400.873106669276,171.2719441561803,0.030056024793836605,0.0018735183868350334,1548.049648331688,0.9625451158289211,0.0029717894228154526,-2.56986333345693,3710,0.013909851650885383,8922.423762278157,171.24768239353105,0.030174802956256845,0.00202518154355471,958.616216355031,0.9582270709275079,0.003054158127300258,-1.8835242356354658,3640,0.98,0.0,0.01,0.0,0.0,0.01,DA ,9585.648074821565,1012.597940881951,0.011971267167847029,0.0017418298008668584,-1.6970388828187553,0.029780898712568643,0.002982007602326412,171.24837946527904,0.9755362319178773,3675,thick,8.927129492758493,9.1182446603717,8.770001393624593,9.233875249442484,9.87867491977094,9.09974623757462,0.6569704387707471,0.7996662346483255,0.5382845337600302
1,258141793782131456,0.017696767988343864,7661.325935687861,136.09781999627825,0.14039600828697818,0.0023111587582438447,937.5590739769993,3.1597059423115743,0.01424747081691315,-1.9457331502780981,3675,0.018180792674186586,7399.20284773667,136.19425582062877,0.1402653190966145,0.0017284095310041818,442.42325896730824,3.0770985704826517,0.014263548729211374,-0.7306708307593934,3675,0.020122701528273154,7265.905114487705,136.12950095859534,0.1373929142378684,0.00318557531672516,1517.157483668664,3.2310395269877943,0.020056567881315837,-4.489769801658831,3675,1.0,0.0,0.0,0.0,0.0,0.0,DA ,7661.325935687861,937.5590739769993,0.017696767988343864,0.0023111587582438447,-1.9457331502780981,0.14039600828697818,0.01424747081691315,136.09781999627825,3.1597059423115743,3675,thick,8.888146439509969,9.07595064332602,8.722760254720532,,,,0.3311828463195839,0.43074395550121564,0.26243121357571575
2,4766190079557876352,0.013573709291412613,17410.605578594204,271.1987593016786,0.04015667614491112,0.0014050403791525873,2214.099979460093,4.5506288277304305,0.004039329120606026,-2.968243462224213,3710,0.014264260419580413,15702.830870107342,271.01335575802756,0.040098050463247326,0.0017771844372740612,2454.586020273264,4.5630894451157555,0.003990483283901014,-4.024296158011391,3675,0.014392419870827343,15354.567931450882,271.1026071463497,0.04011672462073006,0.0017094334353805667,1903.7055696258346,4.5360260130672145,0.004073022719661464,-3.118073525658901,3640,1.0,0.0,0.0,0.0,0.0,0.0,DA ,17410.605578594204,2214.099979460093,0.013573709291412613,0.0014050403791525873,-2.968243462224213,0.04015667614491112,0.004039329120606026,271.1987593016786,4.5506288277304305,3710,thick,8.07831082281714,8.317239472511984,7.842602490672553,,,,0.5851352943746919,0.6764571458864467,0.5095181670124025
3,5841990949544998784,0.014406087843580051,9363.59359539164,287.39656442771326,0.4742122794459208,0.004745099336530998,2940.0980593388385,3.127525378327118,0.04677776922847683,-11.55324636448988,3710,0.015330641585784422,9046.7802374166,287.3390199083098,0.4737695884329803,0.004656384700895771,3389.474518107624,3.1011401973007002,0.04719726705446766,-12.616718569192304,3675,0.01728320000027314,8538.666208534607,287.3732716691788,0.47174510825715155,0.0051187987780861215,3764.02261131982,3.1277068637035303,0.0467573973586579,-14.840401758312488,3640,0.99,0.0,0.0,0.0,0.0,0.01,DA ,9363.59359539164,2940.0980593388385,0.014406087843580051,0.004745099336530998,-11.55324636448988,0.4742122794459208,0.04677776922847683,287.39656442771326,3.127525378327118,3710,thick,8.844244493305876,9.391078021233367,8.413356471129653,,,,0.49545827949171795,0.8222279566665837,0.30584789197250906
4,1036217489305134976,0.011326839504606197,8735.775012192726,125.14139336178144,0.019975174617315555,0.0012080608224972898,619.4170834380038,0.45702299886540654,0.0019658530224409645,-0.7340837212742989,3675,0.011846141568758206,8506.20451982526,125.14624634939315,0.020069188860169458,0.0011786780649271225,595.2971635286999,0.45210529887184137,0.0020198078524663334,-0.6877383112842713,3675,0.01304451800950817,8164.919889872918,125.12462579044214,0.019997605449133145,0.0013575659146638221,586.0770045901536,0.4535219109535818,0.0020091000838000947,-0.7808499995648076,3640,0.93,0.0,0.0,0.0,0.0,0.0,DA ,8735.775012192726,619.4170834380038,0.011326839504606197,0.0012080608224972898,-0.7340837212742989,0.019975174617315555,0.0019658530224409645,125.14139336178144,0.45702299886540654,3675,thick,9.061436962743077,9.208743000591502,8.937232179154995,9.245943071982664,9.400857326960377,9.1705580155542,0.7077325153758787,0.8103271718439077,0.6171591426276251
5,5781107795253788032,0.02215054624882191,31620.561691340023,496.43899359947676,0.16712177752441762,0.003654523859387234,6665.450951291072,2.6161728766867745,0.017661600939597934,-23.225063636990246,3675,0.023655433446960184,30778.273056877293,496.4713434010334,0.1701460435981804,0.0026162039522404403,5007.383042117636,2.6360410854077108,0.016749899630727715,-12.93853833823286,3675,0.02348238197197263,30936.47285586673,496.47284630203893,0.16974118378538525,0.002572201652825989,4955.642167622651,2.765810960068084,0.017068773847621597,-12.589820516661916,3675,0.03,0.0,0.04,0.0,0.0,0.0,DC:,30778.273056877293,5007.383042117636,0.023655433446960184,0.0026162039522404403,-12.93853833823286,0.1701460435981804,0.016749899630727715,496.4713434010334,2.6360410854077108,3675,thin,5.327334884935852,6.208705896325482,5.06961099309587,,,,0.3007520388489325,0.35303882541238507,0.2622676186247893
6,3943230983653981696,0.01083298058295491,6588.149691061945,130.33721361560788,0.030103389170244844,0.0026493237294971006,999.2187123896796,0.616869819109825,0.002974094793028395,-2.4575985285151147,3640,0.010989433732534047,6519.140295820815,130.32752324103498,0.029997079571938614,0.002439885286356145,982.2504672197756,0.6257588811086118,0.002984583033207151,-2.2495589199000117,3675,0.0125923968391309,5632.399094142875,130.31471584218178,0.03004892145453278,0.0033455541038394042,1237.7677916618989,0.6288844961919001,0.0029747228661396088,-3.7584653025183776,3710,0.93,0.0,0.01,0.0,0.0,0.0,DA ,6588.149691061945,999.2187123896796,0.01083298058295491,0.0026493237294971006,-2.4575985285151147,0.030103389170244844,0.002974094793028395,130.33721361560788,0.616869819109825,3640,thick,9.465527192682593,9.729958389266981,9.200499916018163,9.609240882927471,9.892391073352858,9.39832880234161,0.7411541458984517,0.9801411922104264,0.5359623652482252
7,6019850115124860416,0.015313059061873668,4640.585389697022,59.68316053490299,0.010009895971334873,0.0048299590021398916,794.4454393807588,0.14561691522118664,0.0009875408646377024,-3.602486134909524,3640,0.013768784874929163,4915.985374520844,59.6821606690285,0.010014804857886249,0.004300503527497432,761.8028076072065,0.14398983103584526,0.000983280830179281,-2.924843469173565,3675,0.012350840454120281,4165.402596076743,59.676439888099935,0.010027390369637783,0.0039034742623586683,978.1831095112407,0.1411674538472851,0.0010076486613313726,-3.3891817616483926,3675,0.6,0.0,0.0,0.0,0.05,0.02,DA:,4640.585389697022,794.4454393807588,0.015313059061873668,0.0048299590021398916,-3.602486134909524,0.010009895971334873,0.0009875408646377024,59.68316053490299,0.14561691522118664,3640,thick,9.71481666201683,9.981838180610952,9.353178031774386,,,,0.42108145845066614,0.7728174077403737,0.24647822247910983
8,5713502398670853632,0.012063999273863637,9817.311495191063,166.26332696309197,0.020001586505492008,0.0014912235351828176,876.2122323513588,3.163769549184612,0.001988993735881659,-1.2450625052162985,3710,0.012872232482097875,9493.429306169579,166.14532177577513,0.01999635452801556,0.0013682196267377762,780.3069404047201,3.2631974891421938,0.001964239819320812,-1.021635803109654,3710,0.013930872966745167,9317.99664419078,166.17124816425624,0.01991333514417902,0.0020633725822450334,1655.545978206436,3.17780970106605,0.0019869972941473275,-2.9752001094149327,3640,1.0,0.0,0.01,0.0,0.0,0.0,DA ,9817.311495191063,876.2122323513588,0.012063999273863637,0.0014912235351828176,-1.2450625052162985,0.020001586505492008,0.001988993735881659,166.26332696309197,3.163769549184612,3710,thick,8.885685462562861,9.048827864600586,8.750930160969345,9.207451965432144,9.854233184556394,9.088233417025107,0.6531838690764763,0.7727165954153681,0.5507367554749384
9,5194605718646398592,0.01317273292277764,7729.627842408635,96.10183840638223,0.009976550465076237,0.0015049996097996135,820.1183374010507,0.09982190949960686,0.0010061294166782615,-1.148045698303761,3675,0.01367514095440564,7476.661129964092,96.09871409517119,0.010007966469405057,0.0011937913083826174,434.6188989016921,0.10305320467759913,0.0009862708865822996,-0.5064201450045255,3675,0.014888402542423181,7440.037612690306,96.09441057402887,0.010015285363567999,0.0025669977985394213,1699.4317078071272,0.10620417391954731,0.0010337052104519835,-4.161553474749109,3710,0.95,0.0,0.1,0.0,0.0,0.0,DA ,7729.627842408635,820.1183374010507,0.01317273292277764,0.0015049996097996135,-1.148045698303761,0.009976550465076237,0.0010061294166782615,96.10183840638223,0.09982190949960686,3675,thick,9.099618407276084,9.26574810682137,8.966155035494378,,,,0.5650619316263016,0.6776812464049491,0.46547724974342525
