ms_source_id,radial_velocity,radial_velocity_error
23832017611458176,,
100695959226861184,-23.780676,1.5482124
130080201321620736,,
188182136649375488,,
423646507415425024,,
501279548812801024,,
536985471663515776,,
842157569652786048,,
842283120137978752,,
938634969051596544,,
1002943587388021120,,
1038969841787129856,,
1045618622959991040,,
1058048292674420096,,
1064930479550208256,,
1065558369409212928,,
1077711924265863936,,
1085529486299753600,,
1092392294283351680,,
1096701860171987072,,
1102619332969659136,-58.565292,0.54107594
1103059893537511552,,
1117132852095641088,3.0058486,2.4760647
1118583176652117248,-27.354803,2.6918135
1119342458150987776,-17.777893,1.7852132
1133810549407738752,-44.249874,0.8952016
1155156021472205440,-4.2515526,0.4854456
1180589958805598592,8.788485,2.9710116
1188118314921062016,27.61113,5.5339336
1211081585206297088,,
1225236216862718720,,
1231505391645988096,36.639515,7.490507
1233273646861764480,,
1243770714437611520,,
1265928936048401024,,
1272295142732158208,,
1278162033700839936,-0.28068367,0.28331476
1287254926146978304,,
1287753107989683968,,
1309023710184427520,-17.153486,4.7324986
1325072628580312704,,
1334638414101573376,-3.0320117,0.1337274
1351169601488633728,,
1372974364473348992,,
1374545356134257408,,
1379988011706644096,-43.846222,1.0142561
1381990939639165312,-113.91763,6.2445035
1396994806593259904,,
1400015238049493376,,
1415478838301959936,,
1425429448597952896,36.30853,0.9289791
1428206059055546624,,
1428816395383521920,-7.4898505,3.566136
1455213264384207616,,
1477612034228659456,-38.168377,1.6923801
1480357819706321152,,
1488234347346255616,,
1510836767360275200,-7.4097033,0.23672348
1529625183399640320,,
1546908960731418240,,
1548329014354613760,,
1554662407490749952,,
1561581909041357312,,
1613546507901720704,,
2184284100319293824,,
2261155180170491904,,
2399556038812220928,,
2739206278828094848,,
2781575302273836032,,
3038320376988314880,,
3141326646365250688,,
3174751520676087296,,
3248350737390251904,,
3444479830551176960,,
3487047118279549184,,
3573465120154403840,,
4046142183980364800,,
4081109947938756864,,
4450123401885245184,,
4565020545925081344,,
4606687672929066368,,
4723389085480292480,,
4753068305929771008,,
4811421896275732480,,
4830937055141905408,,
4934783935520993152,,
5011040465680790016,,
5033961366111247232,,
5222873097442587776,,
5227793167163703424,,
5350007908979114752,,
5430515524758250624,,
5534911336320259200,,
5677132542593051648,,
5767228282017181696,,
