solution_id,source_id,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_params_solved,ruwe,duplicated_source,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_n_obs,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_n_obs,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,phot_bp_n_contaminated_transits,phot_bp_n_blended_transits,phot_rp_n_contaminated_transits,phot_rp_n_blended_transits,phot_proc_mode,phot_bp_rp_excess_factor,bp_rp,bp_g,g_rp,l,b,ecl_lon,ecl_lat,pairdistance,sep_AU,Sigma18,R_chance_align,meanAV,minAV,maxAV,flag_ext,objid,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,flags_,flags_u,flags_g,flags_r,flags_i,flags_z,angular_distance_,source_id_xmatch_,original_ext_source_id_xmatch_,obj_id,g_mean_psf_mag,r_mean_psf_mag,i_mean_psf_mag,z_mean_psf_mag,y_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag_error,i_mean_psf_mag_error,z_mean_psf_mag_error,y_mean_psf_mag_error,g_flags_,r_flags_,i_flags_,z_flags_,y_flags,obj_info_flag,quality_flag,angular_distance_pstarr,source_id_xmatch_pstarr,original_ext_source_id_xmatch_pstarr,object_id,u_psf,v_psf,g_psf,r_psf,i_psf,z_psf,e_u_psf,e_v_psf,e_g_psf,e_r_psf,e_i_psf,e_z_psf,u_flags,v_flags,g_flags_smap,r_flags_smap,i_flags_smap,z_flags_smap,u_nimaflags,v_nimaflags,g_nimaflags,r_nimaflags,i_nimaflags,z_nimaflags,flags_smap,nimaflags,flags_psf,angular_distance,source_id_xmatch,original_ext_source_id_xmatch,wtd_par,e_wtd_par,ra_ext,dec_ext,ext,ext_min,ext_max,teff_H,logg_H,TeffH,e_TeffH_lower,e_TeffH_upper,LoggH,e_LoggH_lower,e_LoggH_upper,MassH,e_MassH_lower,e_MassH_upper,cool_ageH,e_cool_ageH_lower,e_cool_ageH_upper,Chi2H
1636042515805110273,4299397713684601088,1401415057,2016.0,302.99835535120457,0.0817815437912941,9.232343210610242,0.05343683436512947,14.35972171336649,0.08465440571308136,169.62757873535156,98.14803314208984,98.07820533000807,0.1195841133594513,-3.70166729251517,0.08493246138095856,31,0.957257866859436,False,474,2343.181033194821,1.597938895225525,1466.3770751953125,17.26285171508789,50,1412.1009574863358,10.634903907775879,132.77984619140625,17.463878631591797,51,1357.0415541932553,6.215203285217285,218.34226989746094,16.916412353515625,0,1,0,0,0,1.1817877292633057,0.5474662780761719,0.20102691650390625,0.3464393615722656,50.74413155463111,-13.255470687655919,307.6931754459792,28.456261248638324,0.011191641725910789,2799.754815193194,1516.4282977795788,0.00033030613132030136,0.029999999329447746,0.019999999552965164,0.029999999329447746,0,1237666211407725689,18.07603,17.5015,17.29517,17.22407,17.23841,0.01298283,0.004965719,0.005025272,0.00576283,0.01223469,68988043776,268599296,276856832,4503600038445568,402686464,402694144,0.043279342,4299397713684601088,1237666211407725689,119073029982169293,17.4916000366211,17.3073997497559,17.2546997070313,17.2780990600586,17.3043994903564,0.00417800014838576,0.00429299985989928,0.00558499991893768,0.00706500001251698,0.00746400002390146,115000,115000,115000,115000,115000,503635968,60,0.2814882,4299397713684601088,119073029982169293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34023069541206,0.02467991205006901,302.99835535120457,9.232343210610242,0.0404,0.04027,0.04053,6942.438,7.697335,6950.351587153311,45.92302167669277,46.303087556512764,7.6604089836864375,0.017495927129894895,0.0180524028989284,0.41107115789974746,0.008286438172779298,0.008341382191486224,1.0505394570864361,0.004959273671540032,0.004724498104913044,1.4093917042590713
1636042515805110273,4299689324779425408,718374363,2016.0,302.2464741287128,0.2351738065481186,9.81479627124322,0.18622025847434998,2.9324633005371736,0.2896856665611267,10.12291431427002,4.670806884765625,-2.43766893338106,0.32025566697120667,-3.984244909641924,0.2671060264110565,31,0.990352213382721,False,569,336.0945761488465,0.8104873895645142,414.68206787109375,19.371213912963867,41,272.84499442065294,8.175335884094238,33.37416458129883,19.24875259399414,37,161.12250144327308,5.758518218994141,27.979854583740234,19.230005264282227,0,1,0,0,0,1.2912064790725708,0.018747329711914062,-0.12246131896972656,0.14120864868164062,50.86765458014206,-12.32027772560971,307.03523648308015,29.202502528963944,0.05756295454620673,90485.16960138535,1639.2959138465221,0.942471630376501,0.1899999976158142,0.17000000178813934,0.20999999344348907,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2820075880921933,0.059740230774177436,302.2464741287128,9.81479627124322,0.1766,0.16869,0.18532,11684.59,7.848874,12312.870111490178,2286.348996830722,1393.7838430303618,7.4541716175852475,0.23893511010574198,0.17038888062770585,0.3492599333555392,0.10379926309068149,0.06005833249274506,0.16568331489900043,0.02228486784536493,0.035406062644337905,2.296868873955984
1636042515805110273,4300251170941328768,1195902652,2016.0,299.74053628415743,0.12355084717273712,10.00400397610337,0.07288705557584763,2.402495628267695,0.1312728077173233,18.30154800415039,30.222707748413086,27.34430189049193,0.16113044321537018,-12.872497393176955,0.09809289127588272,31,0.9893525242805481,False,389,1261.3161875032602,1.6144129037857056,781.2847290039062,17.935306549072266,43,1032.8013795815123,8.411148071289062,122.78958129882812,17.80350112915039,42,484.76575232902434,8.604643821716309,56.33768844604492,18.03406524658203,0,0,0,1,0,1.203161597251892,-0.23056411743164062,-0.131805419921875,-0.09875869750976562,49.75914512614958,-10.096022055288994,304.32759447153506,29.9677840802701,0.0011677646852023345,1809.0636080865809,1740.5184576529675,4.3008458977303435e-05,0.27000001072883606,0.25999999046325684,0.2800000011920929,0,1237666227511361983,17.50351,17.69127,18.14215,18.583,18.86131,0.01042488,0.005696986,0.008613258,0.01375707,0.04588402,35287721447956,268468244,270176276,4503599897547284,270172692,268993044,0.10416657,4300251170941328768,1237666227511361983,120002997405795367,17.7947998046875,18.141300201416,18.4160003662109,18.6546993255615,,0.00781599991023541,0.00904600042849779,0.00553599977865815,0.0163540001958609,,115000,115000,16892216,115000,16416,436527104,52,0.09374979,4300251170941328768,120002997405795367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.291123396975111,0.025130367644686333,299.74053628415743,10.00400397610337,0.23666,0.22842,0.24583,31357.4,7.8514,24828.117588718596,2306.8462904045264,2138.126412110385,7.439551259984654,0.11856210259529565,0.10948868708859294,0.39153617851753175,0.04735980575030807,0.03975700852111613,0.009201045246346913,0.00046083030805612983,0.0009974993413702019,3.1813781974906887
1636042515805110273,4300345870669304704,836173425,2016.0,299.4340630778086,0.16186943650245667,10.387396512822347,0.12790118157863617,2.1470072608159927,0.21245107054710388,10.105890274047852,8.567620277404785,-6.622061856029052,0.20508788526058197,-5.436213642587499,0.15593384206295013,95,0.9562694430351257,False,328,690.5621226560452,2.1422359943389893,322.35577392578125,18.589359283447266,19,694.1894327620264,26.37727165222168,26.317710876464844,18.234848022460938,16,479.2747610262217,15.525799751281738,30.869569778442383,18.04643440246582,0,1,0,3,0,1.6992883682250977,0.1884136199951172,-0.3545112609863281,0.5429248809814453,49.94225688302712,-9.642780767001407,304.08854232216186,30.409685251556283,0.0010036820774982002,1578.5061862377104,1785.0818417186981,0.0001409432496187891,0.3100000023841858,0.2800000011920929,0.33000001311302185,0,1237666210332411663,25.05631,22.26318,21.04428,21.19073,19.5131,5.336636,0.5534728,0.4063395,0.4655606,0.4286156,73218781664903512,9007199665815864,72057869326909720,4503874916745496,72057869326909720,275288981784,0.1478326,4300345870669304704,1237666210332411663,120462994340745376,18.3572998046875,,,,,0.00713399983942509,,,,,16793912,16416,114720,16416,16416,444669952,53,0.0355668,4300345870669304704,120462994340745376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.250796532491548,0.017351735706275923,299.4340630778086,10.387396512822349,0.26318,0.24603,0.27885,7190.017,6.140753,7190.554135913898,64.49002211727839,73.66977944233713,6.145802045576703,0.042841514648968015,0.040001365864287486,nan,nan,nan,nan,nan,nan,nan
1636042515805110273,4300369510169386112,1637941985,2016.0,299.56494144716413,0.3729369342327118,10.648437826491001,0.3130297064781189,3.5518918620078703,0.4759688675403595,7.4624457359313965,14.463129043579102,13.290354011266672,0.4505798816680908,-5.705136919527003,0.3765386939048767,31,1.0060961246490479,False,302,258.4574183264694,1.0998287200927734,234.9978790283203,19.656394958496094,35,171.75620771111966,6.541881084442139,26.254865646362305,19.75126075744629,35,98.06140258581989,8.65761947631836,11.326601028442383,19.769149780273438,0,0,0,0,0,1.043953776359558,-0.017889022827148438,0.09486579895019531,-0.11275482177734375,50.23677450527665,-9.623054813472102,304.30291116895495,30.634629868061772,0.006434199558348142,7019.905946112063,1795.5860679627633,0.020501316321732146,0.20999999344348907,0.18000000715255737,0.23000000417232513,0,,,,,,,,,,,,,,,,,,,,,120772995649288664,19.4486999511719,19.6350994110107,19.8815994262695,20.0921993255615,19.4284992218018,0.0191200003027916,0.0202910006046295,0.0323919989168644,0.0764679983258247,0.122221000492573,16892216,16892216,16892216,16892216,16793912,444915712,53,0.0570885,4300369510169386112,120772995649288664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2710080219440902,0.017066642818625966,299.56494144716413,10.648437826491,0.18959,0.17083,0.20508,12912.3,8.437746,12690.607241750089,975.4761936903942,849.3470372273168,8.282705053905449,0.07301980162176314,0.08134861424071183,0.782461550473519,0.04896627171916812,0.05397271456972519,0.5095735570232778,0.034056866791091656,0.04214042491221709,5.701663082422055
1636042515805110273,4300457501160977536,343661982,2016.0,300.77705950703063,1.0562965869903564,10.197842478971664,0.5142571330070496,5.345121241091954,0.8310195803642273,6.432003974914551,27.392606735229492,-13.459119990771578,1.2160691022872925,-23.858059050708718,0.6590917706489563,31,0.9801000952720642,False,272,127.59969772483196,0.8473941683769226,150.57891845703125,20.42274284362793,24,73.52951760735964,6.934965133666992,10.602723121643066,20.672388076782227,27,66.71059451731671,6.676151275634766,9.9923734664917,20.187408447265625,0,0,0,0,0,1.0990630388259888,0.48497962951660156,0.24964523315429688,0.2353343963623047,50.45248298309862,-10.879682494457871,305.5250636888555,29.920314316708787,0.09311878986904386,87879.50854146102,1696.9100032457882,1.196289080186436,0.09000000357627869,0.05999999865889549,0.12999999523162842,0,1237666228585435637,21.21938,20.66909,20.39861,20.55563,20.77359,0.1104613,0.03330815,0.02987174,0.05656813,0.2435791,68987912192,268435456,275146342400,4503874773712896,275146342400,1,0.041135233,4300457501160977536,1237666228585435637,120233007770617882,20.6173000335693,20.4016990661621,20.4598007202148,20.4612998962402,,0.026035999879241,0.138383001089096,0.0344199985265732,0.0423289984464645,,115000,115000,115000,115000,114720,436527104,52,0.07415661,4300457501160977536,120233007770617882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.891412824382413,0.21807691259067422,300.77705950703063,10.197842478971664,0.11006,0.08786,0.13776,7558.713,8.539418,7550.947145676533,388.15760163753475,334.9290235373792,8.107496277316567,0.11691336570823019,0.11158518238236148,0.6590203050529039,0.07578769759863024,0.06913281661551818,1.5200441889641856,0.10627364571247022,0.08970560969180075,2.003601543477745
1636042515805110273,4301528223639916672,957755002,2016.0,296.69274139248637,0.6164076328277588,8.751246083750031,0.45397093892097473,10.812597299339252,0.5934346914291382,18.220365524291992,8.009565353393555,7.067073398455863,0.7402521967887878,3.7695643134382326,0.4643469452857971,95,1.4791046380996704,False,124,1082.686518743796,22.360029220581055,48.42061996459961,18.101110458374023,3,8524.700774920444,2311.292236328125,3.6882834434509277,15.511844635009766,3,9827.457232851893,1175.08154296875,8.363212585449219,14.766792297363281,0,3,0,3,0,16.95057487487793,0.7450523376464844,-2.589265823364258,3.334318161010742,47.15004436212311,-8.102286734647587,300.63620145739065,29.395679884606707,0.0010940729079054455,493.43716154606244,1818.5043797679962,0.004374322543175927,-99.0,1e+20,1e+20,999999,,,,,,,,,,,,,,,,,,,,,118502966927861786,,17.2910003662109,14.9602003097534,,15.2777004241943,,0.00609100004658103,0.0,,0.00616199988871813,16,16777752,16777240,0,16777752,310456320,37,0.018374521,4301528223639916672,118502966927861786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.994150622468613,0.07230802828553667,296.6927413924864,8.751246083750031,0.05286,0.05076,0.05545,,,6314.678554339047,64.89868819028288,49.218921586589204,6.92410956606045,0.014411297150728863,0.006496002261570766,0.19999395507735798,2.7172888272808393e-08,1.7945000346797357e-08,0.0,0.042055533279828805,0.0,31.744796166887898
1636042515805110273,4301716652432656256,765314771,2016.0,297.0292749762627,0.2761322259902954,9.414971152801098,0.24719299376010895,3.702754300004718,0.40201592445373535,9.210466384887695,24.874958038330078,-16.131255457462082,0.37210673093795776,-18.93531549461822,0.2913961112499237,31,0.9570179581642151,False,357,274.47385339803907,0.8441048860549927,325.16558837890625,19.591114044189453,35,178.27872855063987,8.5458402633667,20.86146354675293,19.710792541503906,38,159.59254834564294,6.466533184051514,24.67976951599121,19.24036407470703,0,1,0,1,0,1.230978012084961,0.470428466796875,0.11967849731445312,0.3507499694824219,47.89893997723615,-8.067490408178095,301.1685042842581,29.976296500087056,0.11778595386117456,162851.99326927363,1906.99452812709,0.9519595345929486,0.3199999928474426,0.30000001192092896,0.3700000047683716,0,,,,,,,,,,,,,,,,,,,,,119292970292878477,19.7322006225586,19.5907001495361,19.6347999572754,19.6637001037598,19.3719997406006,0.0130529999732971,0.0202830005437136,0.0354910008609295,0.0190939996391535,0.0989940017461777,115000,115000,16892216,16892216,16440,436527104,52,0.06754263,4301716652432656256,119292970292878477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7010500176562506,0.13531686306073637,297.0292749762627,9.414971152801098,0.24578,0.22382,0.26494,7950.282,7.460731,8106.668807589905,384.5429539261959,342.58485475490306,6.972873255236212,0.11230739557603808,0.06155392647145508,0.19999400831104922,0.024848638993692107,1.0302362626890549e-07,0.2142240794562427,0.06772159733942554,0.1919625818798905,2.3532265805671715
1636042515805110273,4301829970867752704,1223641639,2016.0,296.62475271129716,0.049553193151950836,9.617590886584951,0.04342132806777954,23.133511679631756,0.07049915194511414,328.1388854980469,569.6981201171875,70.42775280413986,0.061973005533218384,-565.3280895033809,0.05019889399409294,31,0.9816446304321289,False,424,2817.209910043617,1.773303747177124,1588.6787109375,17.06281852722168,45,1572.9332105273904,8.619915008544922,182.47665405273438,17.34676742553711,44,1787.3881553488304,6.268565654754639,285.1351013183594,16.617347717285156,0,0,0,1,0,1.1927834749221802,0.7294197082519531,0.2839488983154297,0.44547080993652344,47.880002003847565,-7.620424325160002,300.7659395685738,30.257300653304842,0.1060419904614741,16633.0317583807,1937.552277200734,1.4040533449100719e-06,0.019999999552965164,0.019999999552965164,0.019999999552965164,0,,,,,,,,,,,,,,,,,,,,,119542966247192078,17.3822002410889,17.0851001739502,16.9773006439209,16.9647006988525,16.9505004882813,0.00450100004673004,0.00524700013920665,0.00407300004735589,0.00349200004711747,0.0112319998443127,115000,115000,115000,115000,115000,436527104,52,0.017456988,4301829970867752704,119542966247192078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.922158149795354,0.021705689874600552,296.6247527112972,9.617590886584953,0.03485,0.0348,0.0349,6112.339,7.945175,6121.91140905868,30.026181500779785,29.979400846883436,7.925155570256216,0.013829975797817085,0.014333019080921439,0.5445503305500647,0.008145053074591346,0.0084073399432808,1.979948780169675,0.01683840025897254,0.0166231843353275,1.1846105519063634
1636042515805110273,4302351379875677696,833694437,2016.0,293.1022727871189,0.6417351961135864,9.181485422413408,0.636011004447937,4.54490852682957,0.7851332426071167,5.78870964050293,28.43174934387207,23.998488456214346,0.9092172384262085,-15.245882067681931,0.8573060631752014,31,0.9915953874588013,False,250,144.78288703396615,0.9171205759048462,157.86679077148438,20.285573959350586,25,78.55886036736977,6.918239593505859,11.355324745178223,20.600553512573242,26,67.10319850727092,4.532620429992676,14.80450439453125,20.18103790283203,0,0,0,1,0,1.0060724020004272,0.41951560974121094,0.31497955322265625,0.10453605651855469,45.807238092711124,-4.788169425405927,296.7158414701125,30.5031272230493,0.3759333374571119,203525.1817146965,2184.2424389931716,0.8433371726832826,0.18000000715255737,0.07999999821186066,0.25,0,,,,,,,,,,,,,,,,,,,,,119012931022068363,20.4755992889404,20.4463005065918,20.6730995178223,20.5657005310059,,0.0291159991174936,0.0156939998269081,0.0579579994082451,0.0601920001208782,,115000,115000,115000,115000,114720,436527104,52,0.08655585,4302351379875677696,119012931022068363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.603169517780088,0.04608993251782901,293.1022727871189,9.181485422413408,0.2541,0.16296,0.31559,9452.286,8.643301,9960.650578345514,708.6269535570445,705.786469005523,9.142000653979174,0.09101646147247777,0.10297363066073828,1.2519111596517463,0.028209235846517355,0.04006253479876354,2.695079176120083,0.37264164640378095,0.34993449614515937,2.730484005613376
