,sourceid,radius_thick,teff_thick,dist_thick,av_thick,std_rr_thick,std_tt_thick,std_dist_thick,std_av_thick,cov_rt_thick,nsamps_thick,radius_thin,teff_thin,dist_thin,av_thin,std_rr_thin,std_tt_thin,std_dist_thin,std_av_thin,cov_rt_thin,nsamps_thin,radius_mixed,teff_mixed,dist_mixed,av_mixed,std_rr_mixed,std_tt_mixed,std_dist_mixed,std_av_mixed,cov_rt_mixed,nsamps_mixed,PDA,PDB,PDC,PDO,PDQ,PDZ,SpType,teff_best,std_tt_best,radius_best,std_rr_best,cov_rt_best,av_best,std_av_best,dist_best,std_dist_best,nsamps_best,pop_type,mass_best,log_age_cool,log_age_cool_hi,log_age_cool_lo,log_age,log_age_hi,log_age_lo
0,4595530520422163456,0.012394534990449117,11445.628508826649,217.26401634749584,0.06003437293110325,0.001453236886229904,1242.3500369896738,6.040508911478878,0.006038915434524424,-1.6549496716793775,3745,0.013953522523549821,10619.372653574565,217.207903819304,0.06023402872026484,0.0014841504305906264,955.4114125693872,6.192504413479412,0.005898912679741762,-1.3329557550449782,3710,0.014572099658746698,10579.56360301253,217.05628672195502,0.060740232994173346,0.002231304839598682,1916.1636739571131,6.480480190686968,0.006118863874866187,-3.726921340785793,3640,0.99,0.0,0.0,0.0,0.0,0.0,DA ,11445.628508826649,1242.3500369896738,0.012394534990449117,0.001453236886229904,-1.6549496716793775,0.06003437293110325,0.006038915434524424,217.26401634749584,6.040508911478878,3745,thick,0.6376046322146208,8.705583123028994,8.878084347012031,8.559348068651746,9.216156239474456,10.082925256995418,9.027251316624413
1,4592991095238722304,0.010284522279659446,14058.430907668431,242.20296741348648,0.10036780480906148,0.0022908311830901725,3790.5696284054143,8.816560122668166,0.010163251993167506,-7.768121420034421,3675,0.010756639494896929,13413.404596238826,242.3982689493224,0.10039004107355402,0.0023103958107121274,3161.371871307724,8.86901155187135,0.009826871896504105,-6.714108787194623,3640,0.01139147327266969,13120.469077322274,242.33902135883199,0.09987858832396546,0.0028653895337331903,3982.958064259682,8.929537506501244,0.009701472481201177,-9.778449685472525,3675,0.0,0.99,0.06,0.0,0.0,0.01,DB ,13413.404596238826,3161.371871307724,0.010756639494896929,0.0023103958107121274,-6.714108787194623,0.10039004107355402,0.009826871896504105,242.3982689493224,8.86901155187135,3640,thin,0.7704658458717035,8.647410923164408,8.991721416658324,8.32933436404707,9.018122126106789,9.504041088259553,8.816876849259053
2,710040763560788608,0.022358870194051993,9948.018905659399,225.2184540863565,0.03996320553667071,0.003840801655500516,3663.978919166578,12.16731264476897,0.003962915991269859,-10.228229758965641,3675,0.022432677072206454,9836.961909320802,224.92040450278316,0.04011005161776071,0.003516359659602302,1767.3667228434215,12.019035314504881,0.003974883894553732,-5.358839997275661,3675,0.024355015362379703,9303.699349747258,224.31854127942455,0.040030806483861106,0.003177971622486138,878.598309077794,11.862805819705544,0.003963891959903237,-2.501691894121481,3710,,,,,,,,9948.018905659399,3663.978919166578,0.022358870194051993,0.003840801655500516,-10.228229758965641,0.03996320553667071,0.003962915991269859,225.2184540863565,12.16731264476897,3675,thick,0.2421709856492704,8.302252906735218,8.873500361995553,7.653166210872511,,,
3,6400862264573935488,0.01187443483660072,9666.184083600678,256.09912164274783,0.04010855837803205,0.0029977688947387974,1895.8066553823462,16.575100250986953,0.003964388852180339,-4.953187668784904,3710,0.012638533694126756,9272.531947806947,256.6868129195494,0.03996689448646861,0.0027888558474905506,1684.6076668039416,16.774557522050372,0.003991696815895686,-4.101613075090967,3640,0.013551376835839011,9421.512284439945,257.1024160368491,0.03997698547529808,0.0036806241153862986,3322.15100007463,16.980881498174146,0.00409041448623227,-9.225807993064386,3675,0.99,0.0,0.03,0.0,0.0,0.0,DA ,9666.184083600678,1895.8066553823462,0.01187443483660072,0.0029977688947387974,-4.953187668784904,0.04010855837803205,0.003964388852180339,256.09912164274783,16.575100250986953,3710,thick,0.6688349319642142,8.984633016637883,9.30563488209759,8.728398400872335,9.325907038329998,10.0788752378458,9.09394423490397
4,4560131979788881920,0.014110694309097904,12749.755151643372,243.2781887181919,0.15013344034914455,0.001414856685167215,1521.1157062676793,6.913359339410529,0.014871047417556852,-1.979498491024736,3710,0.015245046943841526,12133.029587124787,243.04216413026035,0.15168379878803104,0.0019382792830097914,2131.0042907225557,6.984867649028952,0.014710239557818944,-3.6441954170923694,3640,0.01584107193899587,11839.759704631788,243.08824678486258,0.15130043613304903,0.0023806085488298464,2115.577686955486,6.984792818412137,0.0146535549516932,-4.496515252515408,3675,0.99,0.0,0.0,0.0,0.0,0.0,DA ,12749.755151643372,1521.1157062676793,0.014110694309097904,0.001414856685167215,-1.979498491024736,0.15013344034914455,0.014871047417556852,243.2781887181919,6.913359339410529,3710,thick,0.5325482993371629,8.55,8.75,8.387020578858753,,,
5,3354715602479374208,0.014090082245130099,27914.98096606054,363.9226105610379,0.060117650983872464,0.00260294654781207,6163.299884083784,14.791619870508452,0.005970012326969065,-14.98364950839944,3710,0.013724041257605079,30764.634239915384,364.3697247661795,0.05992366688552502,0.0022803712044317656,7673.126464641382,14.533528787204556,0.006009179361895382,-16.599392867939656,3710,0.013756330524005732,30421.41364062232,364.32775964580253,0.0599724947311498,0.002233676921273401,7510.938811325541,14.343755003984873,0.005995385296072854,-15.906764793404472,3640,1.0,0.0,0.0,0.0,0.0,0.0,DA ,27914.98096606054,6163.299884083784,0.014090082245130099,0.00260294654781207,-14.98364950839944,0.060117650983872464,0.005970012326969065,363.9226105610379,14.791619870508452,3710,thick,0.597420479398335,7.185439001884671,7.814214267115802,6.800000000000001,,,
6,6102511394992085504,0.01381505651742781,14285.685031902301,341.3705498242379,0.1502491492104779,0.0032226075912626826,3962.371738945315,24.651759794668383,0.01477298353216918,-10.955861440951548,3675,0.014163449970327823,14516.04062972655,340.98094900449337,0.15087031204140178,0.003966175763390813,5373.480811823035,25.211137810961482,0.015129227508223556,-17.807812565520624,3710,0.014598133584984577,14318.944509783589,341.0861908061266,0.150176365477905,0.004378090724847039,5731.268740739943,24.957512592950486,0.015208495324436546,-19.878373963590555,3710,0.98,0.0,0.0,0.0,0.0,0.0,DA ,14285.685031902301,3962.371738945315,0.01381505651742781,0.0032226075912626826,-10.955861440951548,0.1502491492104779,0.01477298353216918,341.3705498242379,24.651759794668383,3675,thick,0.5568058033400983,8.470896873970947,8.873325138233039,8.090075689517525,,,
7,6783125211595105408,0.013797399362622089,15550.22193517362,304.3022677519161,0.09048258478111422,0.0019334272024761495,2127.6520042798697,18.89318187171289,0.009145533992408687,-3.506520479413306,3675,0.01389059992588163,15044.424439079996,306.00092524055754,0.09052469337260254,0.0021747173244291047,2328.4317127591153,19.465842241034018,0.009045042327030942,-4.477030122395133,3640,0.01390695198439756,15003.690260317037,305.7891574561975,0.09096862447846922,0.0023152886410655912,2503.1019595511016,18.879891607473198,0.009060297780747158,-5.170978364275667,3675,1.0,0.0,0.0,0.0,0.0,0.0,DA ,15550.22193517362,2127.6520042798697,0.013797399362622089,0.0019334272024761495,-3.506520479413306,0.09048258478111422,0.009145533992408687,304.3022677519161,18.89318187171289,3675,thick,0.5635024985769801,8.326862759340337,8.558265663931762,8.1,,,
8,5877336056584964736,0.016600197728639323,11154.634023644892,216.55470010383033,0.2125081903081282,0.0011758648895754112,734.3398041987313,4.965951118413324,0.0209144923836958,-0.7775430680371878,3640,0.017299560013008922,11120.803301560512,216.61070774859937,0.21419011257283171,0.0011540782914510536,646.4035911288798,4.922930598685025,0.02036778730313161,-0.6852200493467703,3640,0.01794223100722218,11073.316087827083,216.410248219612,0.2104037246963541,0.0019811785297072252,1927.521117496277,5.126321778574715,0.03238300709021376,-3.3260580896471232,3640,1.0,0.0,0.0,0.0,0.0,0.0,DA ,11154.634023644892,734.3398041987313,0.016600197728639323,0.0011758648895754112,-0.7775430680371878,0.2125081903081282,0.0209144923836958,216.55470010383033,4.965951118413324,3640,thick,0.40216130514120185,8.485313666475504,8.596273640983068,8.381091892024324,,,
9,2253988636396656512,0.011927837519795337,22259.804447702394,325.25767162116983,0.08988055561680965,0.0025356954610712737,6240.907592616025,12.785095918209214,0.008737835796234892,-14.839621700731428,3710,0.010958873964735,24338.558124584837,325.7927758482472,0.09050000111653717,0.0020238429162562546,7049.622107064667,12.67336457807926,0.009013455743575979,-12.689338741086418,3640,0.010890398071141694,24429.51185365293,325.5370066172346,0.0905350730084932,0.0020509605851614567,7108.43532783034,13.077575069508123,0.00878475949666717,-12.992077674210933,3640,0.97,0.0,0.0,0.0,0.0,0.0,DA ,22259.804447702394,6240.907592616025,0.011927837519795337,0.0025356954610712737,-14.839621700731428,0.08988055561680965,0.008737835796234892,325.25767162116983,12.785095918209214,3710,thick,0.7072094848760269,7.835217045932913,8.410095060950287,7.18655685300505,8.861830490551364,9.748476365777172,8.555027774425753
